ts_code,symbol,name,area,industry,list_date,filter_time
002101.SZ,002101,广东鸿图,广东,汽车配件,20061229,2025-01-09 19:14:53
002103.SZ,002103,广博股份,浙江,文教休闲,20070110,2025-01-09 19:14:53
002105.SZ,002105,信隆健康,深圳,摩托车,20070112,2025-01-09 19:14:53
002108.SZ,002108,沧州明珠,河北,塑料,20070124,2025-01-09 19:14:53
002110.SZ,002110,三钢闽光,福建,普钢,20070126,2025-01-09 19:14:53
002114.SZ,002114,罗平锌电,云南,铅锌,20070215,2025-01-09 19:14:53
002115.SZ,002115,三维通信,浙江,互联网,20070215,2025-01-09 19:14:53
002117.SZ,002117,东港股份,山东,广告包装,20070302,2025-01-09 19:14:53
002121.SZ,002121,科陆电子,深圳,电器仪表,20070306,2025-01-09 19:14:53
002125.SZ,002125,湘潭电化,湖南,化工原料,20070403,2025-01-09 19:14:53
002127.SZ,002127,南极电商,江苏,互联网,20070418,2025-01-09 19:14:53
002129.SZ,002129,TCL中环,天津,电气设备,20070420,2025-01-09 19:14:53
002134.SZ,002134,天津普林,天津,元器件,20070516,2025-01-09 19:14:53
002135.SZ,002135,东南网架,浙江,钢加工,20070530,2025-01-09 19:14:53
002137.SZ,002137,实益达,深圳,元器件,20070613,2025-01-09 19:14:53
002139.SZ,002139,拓邦股份,深圳,元器件,20070629,2025-01-09 19:14:53
002140.SZ,002140,东华科技,安徽,建筑工程,20070712,2025-01-09 19:14:53
002148.SZ,002148,北纬科技,北京,互联网,20070810,2025-01-09 19:14:53
002150.SZ,002150,通润装备,江苏,机械基件,20070810,2025-01-09 19:14:53
002152.SZ,002152,广电运通,广东,IT设备,20070813,2025-01-09 19:14:53
002153.SZ,002153,石基信息,北京,软件服务,20070813,2025-01-09 19:14:53
002154.SZ,002154,报喜鸟,浙江,服饰,20070816,2025-01-09 19:14:53
002155.SZ,002155,湖南黄金,湖南,黄金,20070816,2025-01-09 19:14:53
002158.SZ,002158,汉钟精机,上海,工程机械,20070817,2025-01-09 19:14:53
002161.SZ,002161,远望谷,深圳,通信设备,20070821,2025-01-09 19:14:53
002163.SZ,002163,海南发展,深圳,装修装饰,20070823,2025-01-09 19:14:53
002165.SZ,002165,红宝丽,江苏,化工原料,20070913,2025-01-09 19:14:53
002167.SZ,002167,东方锆业,广东,小金属,20070913,2025-01-09 19:14:53
002169.SZ,002169,智光电气,广东,电气设备,20070919,2025-01-09 19:14:53
002170.SZ,002170,芭田股份,深圳,农药化肥,20070919,2025-01-09 19:14:53
002171.SZ,002171,楚江新材,安徽,铜,20070921,2025-01-09 19:14:53
002172.SZ,002172,澳洋健康,江苏,医疗保健,20070921,2025-01-09 19:14:53
002174.SZ,002174,游族网络,福建,互联网,20070925,2025-01-09 19:14:53
002176.SZ,002176,江特电机,江西,小金属,20071012,2025-01-09 19:14:53
002181.SZ,002181,粤传媒,广东,出版业,20071116,2025-01-09 19:14:53
002182.SZ,002182,宝武镁业,江苏,小金属,20071113,2025-01-09 19:14:53
002183.SZ,002183,怡亚通,深圳,仓储物流,20071113,2025-01-09 19:14:53
002185.SZ,002185,华天科技,甘肃,半导体,20071120,2025-01-09 19:14:53
002186.SZ,002186,全聚德,北京,酒店餐饮,20071120,2025-01-09 19:14:53
002188.SZ,002188,中天服务,浙江,房产服务,20071122,2025-01-09 19:14:53
002189.SZ,002189,中光学,河南,元器件,20071203,2025-01-09 19:14:53
002194.SZ,002194,武汉凡谷,湖北,通信设备,20071207,2025-01-09 19:14:53
002195.SZ,002195,岩山科技,上海,软件服务,20071212,2025-01-09 19:14:53
002196.SZ,002196,方正电机,浙江,纺织机械,20071212,2025-01-09 19:14:53
002198.SZ,002198,嘉应制药,广东,中成药,20071218,2025-01-09 19:14:53
